Exajoules ,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Other Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01
Total Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.08,0.10,0.13,0.16,0.22,0.26,0.30,0.38,0.44,0.49,0.55,0.67,0.78,0.89,0.95,1.15,1.16,1.39,1.45,1.66,1.85,1.81,2.00,2.21,2.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,^,^,^,^,^,^,^,^,^,^,^,^
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02
Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.02,0.02
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USSR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,-,^,^
Other CIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Total CIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.02,0.03,0.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Israel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.01,0.01
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,-,-,-,-,-,^,^,^,^
Other Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01
Total Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^
Egypt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,^,0.01,^,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Morocco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.04,0.04
Eastern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01
Middle Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^
Western Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Other Northern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.07,0.07,0.08,0.09,0.10,0.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.10,0.11,0.11,0.12
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
China,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.02,0.05,0.10,0.18,0.27,0.37,0.50,0.58,0.67,0.87,1.10,1.32,1.46,1.68,2.36,2.75,3.19,3.59
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.09,0.10,0.11,0.12,0.12,0.16,0.19,0.22,0.23,0.22,0.25,0.25,0.30,0.29
Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,-,^,^,-,^,^,^,^,^,^,^
Japan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Pakistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.03,0.04,0.05
Other Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Total Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.07,0.09,0.13,0.20,0.29,0.41,0.53,0.68,0.77,0.87,1.12,1.40,1.67,1.84,2.07,2.81,3.25,3.76,4.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.06,0.08,0.11,0.14,0.19,0.23,0.31,0.38,0.48,0.62,0.80,1.00,1.25,1.59,1.91,2.29,2.54,2.99,3.47,4.11,4.58,5.12,5.74,6.70,7.60,8.36,9.04
of which: OECD,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.07,0.10,0.13,0.18,0.21,0.28,0.34,0.43,0.55,0.68,0.82,0.97,1.20,1.38,1.60,1.73,2.02,2.19,2.52,2.69,3.00,3.38,3.52,3.95,4.12,4.33
                 Non-OECD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.07,0.11,0.18,0.28,0.39,0.53,0.69,0.81,0.97,1.27,1.59,1.88,2.12,2.36,3.18,3.65,4.24,4.71
                 European Union #,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.08,0.09,0.13,0.16,0.21,0.25,0.28,0.36,0.41,0.45,0.50,0.59,0.68,0.76,0.80,0.95,0.96,1.13,1.16,1.32,1.44,1.40,1.52,1.73,1.76
